age,sexe,taux,situationFamiliale,nbEnfantsAcharge,2eme voiture,immatriculation
57,M,-1,En Couple,1,false,7537 VK 72
40,M,537,Célibataire,0,false,9176 RB 33
82,M,?,Célibataire,0,false,2123 IW 20
30,M,489,Célibataire,0,false,3045 CC 31
42,M,812,En Couple,3,false,4418 KW 50
70,M,1084,En Couple,0,false,1951 XB 12
23,M,508,En Couple,0,false,9869 GO 61
61,M,199,En Couple,1,false,9237 RZ 58
53,M,1360,Seule,2,false,6069 ZK 61
53,M,191,En Couple,4,false,7464 RF 28
54,M,951,Célibataire,0,false,8372 KC 30
50,F,493,Célibataire,0,false,2861 PX 64
61,M,458,Seule,1,false,8311 MR 46
63,M,913,En Couple,4,false,2089 IP 25
52,M,539,En Couple,0,false,6940 LH 67
23,M,504,En Couple,1,false,4770 EA 70
66,M,988,En Couple,1,false,580 SO 57
18,F,1313,En Couple,3,false,4468 ET 12
71,M,194,En Couple,3,true,5825 MC 61
56,M,206,Célibataire,0,false,7161 UW 98
38,F,954,Célibataire,0,false,6777 CN 49
29,M,588,En Couple,4,false,9679 LM 81
67,F,1119,En Couple,3,false,4640 XH 68
26,M,464,En Couple,4,false,4694 WV 28
27,F,499,Célibataire,0,false,7121 IY 28
50,M,1237,Célibataire,0,false,3327 ZX 35
41,F,434,En Couple,2,false,6358 OO 61
30,M,1090,Seule,3,false,4429 KW 40
31,M,498,En Couple,4,false,3691 US 14
23,F,485,Célibataire,0,false,2823 SQ 41
40,M,595,En Couple,2,true,558 RL 75
41,M,443,En Couple,3,false,8484 HI 34
24,?,947,Célibataire,0,false,2833 BZ 91
 ,M,513,En Couple,1,false,877 QY 85
51,F,543,Célibataire,0,false,9174 KJ 66
72,F,179,En Couple,3,false,9373 AY 30
73,F,507,Célibataire,0,false,1665 DN 96
43,M,556,En Couple,2,false,6612 KV 41
18,M,200,En Couple,2,false,7130 YL 16
43,F,585,En Couple,3,true,8623 NQ 43
43,M,406,En Couple,4,false,840 GJ 45
53,M,439,En Couple,3,false,1041 IN 46
48,M,240,En Couple,4,false,2390 DJ 18
38,M,570,Seule,3,false,7470 GS 95
54,F,856,En Couple,0,false,4625 VC 17
35,M,552,En Couple,2,false,5082 AM 73
80,M,461,En Couple,1,false,4919 CF 17
66,M,429,En Couple,4,false,7597 NU 64
19,F,503,En Couple,0,false,6777 VQ 65
51,M,215,En Couple,1,false,7841 NB 40
51,M,449,En Couple,0,false,2649 ZE 12
42,M,1055,En Couple,1,false,8098 KD 69
54,M,1268,Célibataire,0,false,9404 EF 42
52,M,1199,En Couple,0,true,604 PC 25
19,M,409,En Couple,1,false,6857 RB 14
38,M,173,Célibataire,0,false,865 CY 19
55,M,481,En Couple,4,false,920 DA 33
41,F,196,En Couple,4,false,3232 HW 15
59,F,473,En Couple,2,true,3908 RB 96
19,M,769,Seul,0,false,926 OA 91
43,M,992,Célibataire,0,false,8201 DU 60
41,M,159,En Couple,3,false,5760 PE 40
31,M,712,Célibataire,0,false,1493 VI 33
43,M,161,En Couple,1,false,8334 TF 88
23,F,521,En Couple,2,false,4650 GP 28
22,M,245,En Couple,0,false,2802 AX 14
56,F,955,Célibataire,0,false,5194 VU 86
26,F,1399,En Couple,3,false,8054 OX 47
72,M,1295,En Couple,2,false,5577 AW 53
63,F,473,En Couple,2,false,1833 WH 58
81,M,510,Célibataire,0,false,9903 FP 84
18,M,509,En Couple,4,true,5466 SG 24
62,M,917,En Couple,2,false,9811 IG 20
27,M,1191,En Couple,1,false,9947 KH 14
61,F,405,En Couple,3,true,6592 HD 92
44,M,170,En Couple,1,false,2111 YF 25
57,M,471,Célibataire,0,false,4563 CN 52
49,M,531,En Couple,0,false,5067 MX 92
34,M,561,En Couple,3,false,7018 GX 71
74,F,1104, ,0,false,6520 TC 29
24,M,948,En Couple,0,true,8758 CD 51
48,M,405,En Couple,3,false,1423 BH 44
77,M,537,Célibataire,0,false,7849 WN 26
25,M,175,Célibataire,0,false,6587 VH 86
81,M,1362,En Couple,4,false,7177 OT 49
31,M,475,En Couple,2,true,2506 NO 32
22,M,568,En Couple,1,false,2155 WI 17
23,M,233,En Couple,1,false,140 QX 18
47,F,555,Célibataire,0,false,1767 ZF 53
70,M,190,En Couple,2,true,6098 CL 15
55,M,449,En Couple,4,false,9802 QO 49
21,M,1207,En Couple,2,false,2943 NA 47
51,F,470,Célibataire,0,false,8639 AH 52
28,F,808,Célibataire,0,false,5338 LL 90
58,M,514,En Couple,4,true,3013 MC 79
47,F,1040,En Couple,0,true,730 BV 36
40,M,169,En Couple,2,true,7148 JG 45
24,M,518,En Couple,3,false,4952 UD 55
23,F,450,En Couple,1,false,183 MO 71
77,F,208,Célibataire,0,false,7248 JE 51
45,M,1064,En Couple,1,false,4250 MZ 88
24,F,580,En Couple,1,false,7487 VJ 17
81,F,544,En Couple,2,true,8876 CJ 21
65,F,224,En Couple,2,false,8518 AG 79
24,M,1392,En Couple,0,false,342 EK 77
51,M,1359,En Couple,2,true,2517 FJ 18
42,M,545,En Couple,2,false,4002 YT 12
61,M,1036,Célibataire,0,false,3584 AX 10
37,M,1366,En Couple,4,false,1709 WP 62
68,M,1280,En Couple,0,false,6173 HT 70
77,M,402,En Couple,1,false,9990 SO 93
19,M,904,Célibataire,0,false,9059 QP 12
58,M,485,En Couple,2,false,332 HM 18
26,M,568,En Couple,3,true,8621 PR 24
19,M,760,En Couple,0,false,6690 MY 35
38,M,526,En Couple,2,false,3348 SZ 64
21,M,598,En Couple,3,false,6109 RC 58
37,M,227,En Couple,1,true,5832 OY 63
47,M,440,En Couple,4,false,9780 RH 81
56,M,495,En Couple,0,false,7783 FQ 84
28,M,506,En Couple,4,false,9615 MY 10
31,M,875,En Couple,1,false,5220 MU 21
72,F,446,Célibataire,0,false,7081 IK 66
59,F,222,En Couple,3,false,3201 KN 61
52,M,584,En Couple,1,false,4014 YW 19
77,M,558,En Couple,2,false,1428 DC 64
48,M,963,En Couple,0,true,8797 PS 78
19,M,496,En Couple,1,false,4917 UT 35
47,M,756,En Couple,1,false,7846 EI 28
24,Homme,917,Seule,3,false,1774 AT 69
50,M,904,En Couple,2,false,5051 GA 63
25,M,191,En Couple,2,false,3369 YB 35
18,F,206,En Couple,1,false,3859 NX 79
50,M,532,En Couple,4,false,8645 KU 35
84,M,1162,En Couple,2,false,7714 XC 37
46,M,239,En Couple,2,true,4513 IV 59
25,M,1269,En Couple,3,false,4450 RI 54
28,M,1201,En Couple,3,false,5583 BQ 74
36,M,406,En Couple,2,false,2654 YE 79
31,M,442,Célibataire,0,false,18 IJ 43
68,M,206,En Couple,0,true,1792 AE 45
29,F,405,En Couple,1,false,768 WX 68
35,M,555,Célibataire,0,false,298 WT 57
27,M,426,Célibataire,0,false,6559 DJ 27
30,F,237,Célibataire,0,false,5850 DH 34
31,M,418,En Couple,0,false,795 US 86
53,M,763,En Couple,1,false,4355 UN 92
43,M,476,En Couple,4,false,2687 EG 33
83,F,911,En Couple,0,false,7483 LD 46
49,M,599,En Couple,1,false,6087 VH 91
31,F,731,En Couple,3,false,7319 JT 24
84,F,429,Célibataire,0,false,8724 NE 67
49,M,421,Célibataire,0,false,5312 ZP 73
18,F,188,Célibataire,0,false,4134 GD 16
21,F,798,Seule,1,false,1856 AE 36
78,M,460,En Couple,1,false,5667 IP 32
27,M,780,En Couple,1,false,4421 RW 23
33,M,930,Célibataire,0,false,6591 IJ 72
52,M,593,En Couple,2,false,4893 XU 49
26,M,450,Célibataire,0,false,5650 PJ 76
34,M,220,En Couple,4,false,3752 AQ 44
58,M,569,Célibataire,0,false,4709 VI 96
24,F,501,En Couple,0,false,6937 ET 68
43,F,229,En Couple,0,true,804 WF 64
28,M,819,Seule,3,false,8436 DR 87
29,M,1218,En Couple,1,false,4348 YW 88
22,F,493,En Couple,1,false,6481 JF 68
59,F,208,En Couple,3,true,1534 KY 64
58,M,156,En Couple,1,false,8583 UL 69
30,M,550,En Couple,2,false,4314 DS 74
57,F,811, ,3,true,7121 WS 47
31,F,954,Célibataire,0,false,3412 ZP 61
75,M,738,En Couple,3,false,1516 PD 19
30,F,181,En Couple,3,true,4707 YE 36
28,M,844,En Couple,3,false,2134 QK 52
59,M,764,Célibataire,0,false,9436 PJ 27
33,M,978,En Couple,1,false,5392 HO 56
42,M,956,Célibataire,0,false,1690 UA 48
31,M,216,En Couple,2,false,6669 SV 14
51,M,208,En Couple,4,false,5849 AB 63
34,F,410,Seule,3,false,3968 NN 97
59,M,186,Célibataire,0,false,3542 TC 24
53,M,225,En Couple,0,false,5873 JH 54
23,M,463,Seule,3,false,6448 OB 40
25,M,1375,En Couple,4,false,1320 UN 84
48,F,709,En Couple,2,false,3626 SL 29
81,M,503,En Couple,1,false,5792 PK 83
24,M,1113,Célibataire,0,false,2566 IH 65
59,F,165,En Couple,2,true,2709 SS 23
44,M,1363,En Couple,2,false,4026 XB 94
54,M,1352,Célibataire,0,false,1254 TX 39
62,M,477,En Couple,4,true,2078 ZX 39
20,M,544,Célibataire,0,false,4787 FR 87
48,F,499,En Couple,3,false,3788 PL 46
71,F,471,En Couple,2,false,735 RA 84
45,F,1313,En Couple,0,false,1743 BG 35
22,M,527,En Couple,2,false,4238 BK 70
40,F,432,En Couple,2,false,148 UV 97
46,F,758,Marié(e),4,false,3176 OE 64
23,F,241,Célibataire,0,false,5195 RO 37
23,M,998,En Couple,4,true,7044 BU 15
83,M,210,Célibataire,0,false,8277 EM 50
43,M,557,Célibataire,0,false,189 IA 65
57,F,161,En Couple,2,false,6647 RI 43
52,M,452,En Couple,2,false,6576 AP 71
63,M,1231,En Couple,2,false,6230 AL 68
77,F,559,Célibataire,0,false,8011 JB 16
41,M,476,En Couple,4,true,3241 ZP 73
66,M,178,Célibataire,0,false,1840 UU 41
35,F,1275,Célibataire,0,false,6202 RV 10
50,M,599,Célibataire,0,false,1631 JI 79
83,M,592,En Couple,0,false,4516 DZ 33
25,M,445,Célibataire,0,false,9407 ZR 46
51,F,544,Célibataire,0,false,3077 UW 28
38,F,454,Célibataire,0,false,789 LO 86
41,M,173,En Couple,0,false,2717 PY 45
28,M,555,Seule,2,false,6906 SW 46
21,F,959,En Couple,3,false,7917 LB 95
46,M,592,En Couple,3,false,5880 QG 77
54,M,580,En Couple,2,false,6921 ND 80
56,F,483,En Couple,0,false,1421 BP 38
57,F,197,En Couple,1,false,6470 WK 41
43,F,472,En Couple,0,true,9751 PF 55
51,M,500,En Couple,1,false,2060 RK 61
68,M,1153,En Couple,2,false,9910 YQ 74
32,M,235,En Couple,0,false,1940 XH 37
81,F,203,En Couple,2,true,2525 HM 10
73,M,505,En Couple,0,false,2250 WD 93
22,F,588,En Couple,0,false,4929 OG 11
29,M,1235,Seule,3,false,3355 PI 24
73,F,1298,En Couple,4,true,2695 CU 58
37,M,440,En Couple,0,false,2952 RG 89
32,M,1177,Célibataire,0,false,8121 GK 47
57,M,1393,En Couple,4,false,3985 DO 89
21,M,1342,En Couple,0,false,8034 UG 24
27,F,1240,Célibataire,0,false,8731 VG 49
26,M,1277,En Couple,2,true,3197 GV 89
74,M,227,En Couple,0,false,2970 GP 62
20,M,1288,En Couple,2,false,1369 JR 27
41,F,185,En Couple,2,false,5799 DU 52
59,Homme,702,Célibataire,0,false,6999 XO 59
76,M,576,En Couple,1,true,6570 IC 14
77,M,1392,En Couple,3,false,7434 FD 89
53,M,221,Célibataire,0,false,9568 EL 86
25,M,200,Seule,1,false,5877 MU 12
27,M,1030,Célibataire,0,false,246 TT 80
59,F,404,En Couple,3,false,480 XZ 29
32,M,483,En Couple,3,true,4699 NB 25
44,M,449,En Couple,4,false,8851 ED 63
39,M,426,Célibataire,0,false,8034 LW 47
42,M,423,En Couple,1,false,1513 QL 14
48,M,586,Célibataire,0,false,3213 MU 49
27,M,496,Célibataire,0,false,8110 XX 79
67,M,231,Seule,3,false,3202 YB 57
81,M,549,En Couple,4,false,305 ZT 23
20,M,401,En Couple,1,false,7401 SU 81
23,M,540,En Couple,2,false,6898 WH 47
52,M,1178,Célibataire,0,false,9292 GX 17
58,M,566,Célibataire,0,false,9348 PU 97
67,M,1110,Célibataire,0,false,8454 FG 45
81,F,446,En Couple,0,false,5004 PK 86
18,M,241,Marié(e),0,false,5460 MM 68
27,F,515,En Couple,3,false,3775 WV 59
48,M,?,En Couple,4,false,1110 XV 64
21,M,431,Célibataire,0,false,216 WU 32
47,M,510,En Couple,0,false,9198 PX 19
33,M,413,En Couple,2,false,6351 LD 61
39,M,1007,Seule,2,false,9103 VQ 52
53,F,516,En Couple,4,false,7906 CN 56
43,M,1337,En Couple,4,true,9903 WN 42
25,M,502,En Couple,0,false,3519 AZ 81
36,M,1141,En Couple,0,false,3269 QQ 11
60,F,405,En Couple,2,false,4087 NF 54
77,M,547,Célibataire,0,false,330 ZP 34
22,M,158,En Couple,2,false,7645 TN 39
51,F,433,En Couple,2,false,924 ZM 68
57,M,532,En Couple,0,false,8884 DD 31
67,M,954,Célibataire,0,false,7462 AU 15
46,F,160,En Couple,0,false,7157 KV 59
66,M,461,En Couple,4,false,89 VZ 91
54,M,940,Seule,1,false,3942 VM 25
57,M,854,En Couple,0,false,7046 LM 23
76,F,598,Célibataire,0,false,9667 KP 86
35,M,155,Célibataire,0,false,8977 CJ 34
27,Féminin,512,Célibataire,0,false,1464 CQ 84
34,M,445,Célibataire,0,false,6239 VQ 63
27,M,204,En Couple,4,false,6067 SB 13
48,M,530,En Couple,2,false,7224 RZ 60
74,F,426,Célibataire,0,false,8471 SC 68
50,F,492,Célibataire,0,false,2069 LG 75
70,F,952,Célibataire,0,false,8980 LP 34
53,M,461,Marié(e),2,false,9906 VC 61
65,M,492,En Couple,0,false,3215 DI 81
27,M,1342,En Couple,1,false,205 DM 11
48,M,470,Célibataire,0,false,3360 CK 98
23,F,1203,En Couple,1,false,1012 DQ 66
71,F,413,Célibataire,0,false,8910 AN 82
29,M,704,En Couple,0,false,7227 BK 44
25,M,848,En Couple,1,false,4724 LQ 58
21,M,448,En Couple,0,true,2883 AR 18
24,Homme,407,Célibataire,0,false,5551 XI 31
82,M,1336,En Couple,2,false,1892 JM 18
37,M,441,En Couple,0,true,8958 LW 76
34,M,568,Célibataire,0,false,9987 ER 75
36,F,506,En Couple,1,false,8448 HJ 44
26,F,542,En Couple,3,true,972 WF 11
25,F,427,En Couple,1,false,8281 MJ 83
84,F,476,En Couple,1,false,1848 XJ 50
60,M,1050,En Couple,0,true,4428 ZO 90
53,F,970,Célibataire,0,false,1959 UT 37
34,M,1179,En Couple,1,false,2001 SO 83
43,M,518,En Couple,2,false,600 YW 82
82,F,153,En Couple,-1,false,9681 HQ 82
52,F,526,Célibataire,0,false,4379 ZZ 28
75,F,1194,Célibataire,0,false,5620 TC 40
51,F,243,En Couple,0,false,2758 YZ 40
55,M,530,Célibataire,0,false,9193 ZJ 56
18,M,245,En Couple,2,false,2748 OY 59
31,M,155,En Couple,1,false,4142 DC 59
80,M,453,En Couple,3,false,4151 PY 29
49,M,534,En Couple,4,false,2068 CG 83
67,M,572,Célibataire,0,false,9598 IZ 96
57,M,180,En Couple,4,false,2412 YX 43
50,F,453,Célibataire,0,false,5775 DR 66
69,F,1130,En Couple,2,false,4107 JN 18
82,M,1066,Célibataire,0,false,1414 CB 69
46,F,199,En Couple,2,false,25 OS 73
36,M,229,En Couple,0,false,2403 QK 49
80,M,1361,Seule,1,false,5805 BU 45
76,M,766,En Couple,0,false,3128 SG 44
41,M,187,Célibataire,0,false,8162 PS 13
62,M,1102,En Couple,1,false,1528 YI 37
55,M,1052,Seule,2,false,6246 KO 33
20,M,1162,En Couple,1,false,9753 IN 86
27,F,480,En Couple,2,false,3253 MF 54
18,F,492,En Couple,2,true,4530 SQ 82
57,M,1306,Célibataire,0,false,3681 OC 12
31,M,574,En Couple,2,true,5885 AI 87
68,M,1110,Célibataire,0,false,2989 JT 57
58,M,454,Célibataire,0,false,9606 QP 29
61,M,525,En Couple,2,false,5132 VF 31
54,F,170,En Couple,3,false,9145 SN 41
75,M,595,Célibataire,0,false,9543 FJ 35
25,Féminin,735,En Couple,1,false,6263 FB 55
36,M,874,En Couple,4,false,8532 JZ 22
38,F,557,En Couple,4,false,4705 QE 42
27,M,726,En Couple,3,false,1791 YB 66
54,M,596,Célibataire,0,false,2059 HN 54
32,M,195,En Couple,1,true,9700 BB 87
51,Femme,1290,En Couple,3,false,8538 LT 29
69,M,222,En Couple,4,false,1714 DA 81
55,M,848,En Couple,1,false,1318 MK 43
30,F,547,En Couple,1,false,3273 XT 17
59,F,555,Célibataire,0,false,4152 UV 84
58,M,752,En Couple,1,false,4572 DQ 59
37,M,979,En Couple,2,true,1852 WE 40
45,F,215,Célibataire,0,false,3328 NT 25
35,M,158,En Couple,3,false,128 OI 94
83,F,1397,En Couple,1,false,2810 BG 18
21,M,570,Célibataire,0,false,9619 HR 77
27,F,493,Célibataire,0,false,8293 BC 64
50,M,415,En Couple,0,false,6118 VP 77
37,M,540,En Couple,0,false,521 PJ 75
31,F,597,En Couple,1,true,8078 KN 81
48,M,174,En Couple,1,false,676 EK 75
64,Homme,177,En Couple,1,true,3743 WZ 21
23,F,875,En Couple,2,true,7413 CJ 29
24,M,446,Célibataire,0,false,5906 IB 45
34,M,1033,Célibataire,0,false,6827 RD 40
50,M,1011,En Couple,1,true,2559 OR 43
45,F,212,En Couple,0,false,4714 KM 67
66,M,1242,Célibataire,0,false,4355 JF 33
27,M,702,En Couple,3,false,21 QT 31
45,M,244,En Couple,0,true,6091 XR 45
64,M,1011,Célibataire,0,false,9188 UU 51
74,M,587,En Couple,1,false,6087 DX 43
56,F,1028,En Couple,1,false,5936 LM 95
33,F,407,Célibataire,0,false,4951 CM 51
72,F,434,Seule,1,false,8450 WP 43
41,M,154,Célibataire,0,false,4945 KY 36
33,M,1110,En Couple,4,false,903 LN 91
30,M,1309,Célibataire,0,false,7768 NI 20
53,M,1392,Célibataire,0,false,8526 HM 77
46,M,1326,En Couple,2,false,1270 EG 81
56,M,442,Célibataire,0,false,8295 FH 62
43,M,586,Célibataire,0,false,6066 XK 89
52,M,245,Célibataire,0,false,9509 HJ 59
78,M,1059,En Couple,3,false,2154 VJ 57
71,M,536,Célibataire,0,false,1869 NX 94
50,F,428,Célibataire,0,false,5258 BT 67
39,M,923,En Couple,0,false,996 DU 84
67,M,544,En Couple,2,true,1299 NX 67
55,M,186,En Couple,3,true,6629 QI 24
22,F,905,Célibataire,0,false,3061 ZW 61
19,M,1390,En Couple,0,true,8872 YS 68
20,F,927,Célibataire,0,false,1460 UC 47
29,M,441,En Couple,2,false,2587 MU 25
77,F,1166,Seule,2,false,3269 SL 21
19,M,878,Célibataire,0,false,3069 ZK 77
60,F,441,Célibataire,0,false,562 ZO 72
76,M,531,En Couple,2,true,2733 HQ 47
18,M,1269,En Couple,1,true,8290 ZL 22
56,M,220,Célibataire,0,false,3583 RO 24
53,M,171,En Couple,0,true,3457 JS 23
27,M,713,En Couple,3,false,646 QI 10
41,M,161,En Couple,2,false,6654 HY 31
59,M,410,En Couple,2,false,5947 CY 98
19,M,554,En Couple,4,true,9655 PR 35
31,M,550,Marié(e),0,true,3732 ET 58
18,M,225,En Couple,4,false,9550 DC 64
36,F,507,En Couple,2,true,8909 YL 78
53,F,152,En Couple,2,false,695 OY 19
45,F,237,En Couple,1,false,18 RZ 53
36,M,1285,En Couple,2,true,2791 IR 42
28,M,1164,Célibataire,0,false,1250 IQ 42
21,M,230,En Couple,0,false,5670 QL 13
47,M,507,Célibataire,0,false,3741 TL 37
43,M,858,En Couple,4,true,877 YE 39
23,M,445,En Couple,2,false,1111 ZN 96
38,F,488,En Couple,2,true,3224 FJ 49
55,F,1309,En Couple,1,true,3138 MH 58
31,M,911,En Couple,2,false,1541 HL 48
31,M,548,En Couple,3,false,1175 IO 53
27,F,464,En Couple,3,false,5635 UV 92
27,F,168,En Couple,2,false,6413 PR 85
71,M,1164,En Couple,4,false,8179 DR 98
51,M,1389,En Couple,3,false,448 AB 82
52,M,438,Célibataire,0,false,1738 HS 58
79,F,720,Célibataire,0,false,3963 PV 56
24,M,173,En Couple,1,true,9436 JU 34
28,M,151,Célibataire,0,false,6845 KC 92
26,F,195,Célibataire,0,false,7634 BW 71
63,F,1306,Célibataire,0,false,184 KJ 80
47,M,953,En Couple,0,true,1781 AH 53
37,M,184,En Couple,2,false,3980 FS 42
32,M,484,Célibataire,0,false,9424 RV 81
40,F,953,Seule,3,false,8160 MS 11
77,M,216,En Couple,0,false,3201 FY 87
26,M,1173,En Couple,2,false,6553 QO 38
19,M,1316,En Couple,3,false,2375 YT 41
29,F,403,Célibataire,0,false,8049 MF 25
31,M,521,En Couple,1,false,2037 GX 77
39,M,159,Célibataire,0,false,2945 TM 18
22,F,1258,En Couple,3,false,5998 MF 33
26,F,224,En Couple,2,false,9686 OJ 30
23,F,422,En Couple,0,false,6566 FR 38
60,M,985,Célibataire,0,false,1375 RB 60
76,M,1031,En Couple,2,true,6087 DA 13
78,Homme,1029,Célibataire,0,false,44 RQ 76
47,F,445,Célibataire,0,false,9976 UW 24
56,F,553,En Couple,4,false,8288 MB 72
33,F,487,En Couple,0,false,3031 WU 24
21,F,432,En Couple,2,false,7328 QI 84
80,Homme,150,Célibataire,0,false,3841 FU 57
52,M,927,Célibataire,0,false,6082 RZ 49
19,M,1228,En Couple,1,false,6564 PC 18
22,M,451,En Couple,0,false,8366 PE 20
22,F,1069,En Couple,3,false,1955 OZ 40
25,M,988,En Couple,1,true,8896 SR 86
44,F,1235,En Couple,0,false,7121 PD 29
50,M,1117,En Couple,1,false,6691 WH 48
31,F,546,En Couple,2,true,2052 EX 80
44,M,408,En Couple,3,false,8247 XW 11
58,F,416,Célibataire,0,false,4195 VZ 72
66,M,427,Célibataire,0,false,4379 AV 46
79,F,171,Célibataire,0,false,8392 GJ 44
36,M,458,Célibataire,0,false,4323 OA 45
49,M,537,En Couple,2,false,5167 KX 69
54,M,508,Célibataire,0,false,8498 GA 43
22,M,213,En Couple,4,false,7140 JF 42
58,M,704,En Couple,1,false,9249 DD 35
71,M,1269,En Couple,2,true,6137 ZW 82
46,M,478,Célibataire,0,false,7318 QC 44
39,M,1264,En Couple,0,false,2061 LO 70
18,F,429,En Couple,2,false,1165 OJ 95
67,Masculin,502,En Couple,4,true,7365 XO 55
45,M,1379,Célibataire,0,false,7746 II 63
36,F,1078,En Couple,4,false,6150 OU 53
24,M,451,Célibataire,0,false,6868 JS 34
29,M,592,En Couple,0,false,1816 IC 45
30,M,1055,Célibataire,0,false,3940 JB 12
55,M,426,En Couple,4,false,8564 WW 16
26,M,520,En Couple,3,false,2995 MA 97
21,F,533,Célibataire,0,false,5271 BQ 53
19,F,1160,Célibataire,0,false,8359 TZ 54
27,M,586,En Couple,2,false,6044 MX 17
29,N/D,502,En Couple,2,true,4373 IZ 94
34,F,437,En Couple,2,false,5237 OT 51
33,M,249,En Couple,1,false,8104 PY 14
38,M,459,En Couple,0,false,2723 LY 84
37,F,501,En Couple,0,false,1224 YL 53
